pid,name,username,num_ctx_switches,memory_info,cpu_percent,memory_percent,nice,create_time,utime,stime,cutime,cstime
309,softwareupdated,_softwareupdate,"pctxsw(voluntary=140475495352007, involuntary=0)","pmem(rss=8765440, vms=34522480640, pfaults=6120, pageins=348)",0.0,0.10204315185546875,0,1681222248.443998,0.224952432,0.226006384,0.0,0.0
310,suhelperd,root,"pctxsw(voluntary=140475495350450, involuntary=0)","pmem(rss=3936256, vms=34466590720, pfaults=1783, pageins=9)",0.0,0.04582405090332031,0,1681222248.693023,0.012143919,0.014841159,0.0,0.0
311,distnoted,_softwareupdate,"pctxsw(voluntary=140475495351350, involuntary=0)","pmem(rss=1101824, vms=34437611520, pfaults=1579, pageins=4)",0.0,0.012826919555664062,0,1681222248.697474,0.046251064,0.030249272,0.0,0.0
312,cron,root,"pctxsw(voluntary=140475495350382, involuntary=0)","pmem(rss=929792, vms=34431909888, pfaults=1011, pageins=2)",0.0,0.010824203491210938,0,1681222248.936624,0.005354139,0.011322163,0.0,0.0
313,backgroundtaskmanagementd,root,"pctxsw(voluntary=140475495351588, involuntary=0)","pmem(rss=4046848, vms=34505629696, pfaults=3083, pageins=14)",0.0,0.04711151123046875,0,1681222248.97905,0.138901024,0.077669504,0.0,0.0
319,mds_stores,root,"pctxsw(voluntary=140475495411001, involuntary=0)","pmem(rss=40775680, vms=36788965376, pfaults=159372, pageins=7613)",0.0,0.47469139099121094,0,1681222249.389735,4.311787008,4.21333504,0.0,0.0
321,siriinferenced,root,"pctxsw(voluntary=140475495351365, involuntary=0)","pmem(rss=7741440, vms=34467266560, pfaults=4054, pageins=588)",0.0,0.09012222290039062,0,1681222249.62221,0.033649976,0.239453088,0.0,0.0
322,distnoted,_spotlight,"pctxsw(voluntary=140475495351774, involuntary=0)","pmem(rss=1105920, vms=34437611520, pfaults=1632, pageins=4)",0.0,0.012874603271484375,0,1681222250.391929,0.048471792,0.034082032,0.0,0.0
323,com.apple.DriverKit-IOUserDockChannelSerial,_driverkit,"pctxsw(voluntary=140475495350556, involuntary=0)","pmem(rss=499712, vms=34941177856, pfaults=972, pageins=31)",0.0,0.005817413330078125,0,1681222250.47353,0.004463505,0.041319,0.0,0.0
324,thermald,root,"pctxsw(voluntary=140475495351170, involuntary=0)","pmem(rss=2822144, vms=34440769536, pfaults=1570, pageins=4)",0.0,0.03285408020019531,0,1681222250.528577,0.014677459,0.05023636,0.0,0.0
